Year,Term,Subject,Number,Course Title,Sched Type,Primary Instructor,GPA
2015,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",2.8754166666666667
2011,Summer,MATH,124,Finite Mathematics,LCD,"Arroyo, Aisha H",2.904285714285714
2016,Fall,MATH,417,Intro to Abstract Algebra,,"Tramel, Rebecca",3.284074074074074
2017,Spring,ACCY,302,Decision Making for Atg,,"Fanning, Kirsten B",3.3817647058823526
2020,Spring,ECE,120,Introduction to Computing,LEC,"Aggarwal, Anu",3.595
2020,Fall,MATH,402,Non Euclidean Geometry,ONL,"Samperton, Eric G",2.9052380952380954
2016,Fall,STAT,400,Statistics and Probability I,,"Culpepper, Steven A",3.3382666666666667
2011,Summer,CS,492,Senior Project I,LCD,"Woodley, Michael J",3.551224489795919
2021,Fall,CS,447,Natural Language Processing,ONL,"Hockenmaier, Julia C",3.559009009009009
2010,Fall,AGED,230,Leadership Communications,LEC,"Anderson, James C",3.1244444444444444
2015,Fall,BADM,555,Info Sys Development and Mgt,LCD,"Subramanyam, Ramanath",3.8382857142857136
2016,Fall,PSYC,100,Intro Psych,,"Travis, Lisa L",2.8164516129032258
2021,Spring,KIN,247,Intro to Sport Psychology,OLC,"Mullen, Sean P",3.8095238095238093
2021,Spring,ACCY,303,Atg Institutions and Reg,OLC,"Schwartz, Rachel",3.2194736842105263
2021,Summer,MBA,565,Infonomics,ONL,"Laney, Douglas B",3.511161971830986
2017,Spring,SPED,447,Curriculum Development II,,"Israel, Maya",3.953888888888889
2015,Summer,ACCY,301,Atg Measurement & Disclosure,LCD,"Yoon, Ha Young",3.396296296296296
2016,Fall,TSM,435,Elec Computer Ctrl Sys,,"Bhalerao, Kaustubh",3.2932000000000006
2012,Fall,IB,360,Evolution and Human Health,DIS,"Sears, Karen",3.489032258064516
2016,Spring,RST,480,Orientation to Practicum,LCD,"Hicks, Jonathan R",3.5118604651162797
2016,Spring,GEOG,466,Environmental Policy,ONL,"Lavey, Warren",3.376774193548387
2015,Fall,GS,101,Exploring General Studies,LCD,"Waranyuwat, Kulapan J",3.427435897435898
2017,Fall,LAS,101,Freshman Seminar,,"Soranso, Murillo S",3.6536
2016,Fall,ACCY,201,Accounting and Accountancy I,,"Coady, Jennifer J",2.8177419354838706
2014,Fall,CHEM,102,General Chemistry I,LEC,"Huang, Tina H",2.39825
2015,Spring,ACE,199,Farm Food & Env Policy,LCD,"Scholl, Jon H",3.968095238095238
2012,Fall,VM,610,Medicine and Surgery II,LEC,"Graves, Thomas K",2.834710743801653
2012,Fall,ENGL,373,"Film, Style, Politics & You",LCD,"Camargo, Sandra",3.1308695652173917
2019,Summer,TAM,335,Introductory Fluid Mechanics,LEC,"Berent, Zachary T",2.8276000000000003
2010,Fall,SPAN,200,Readings in Hispanic Texts,LCD,"Vasquez, Carina",3.3451724137931036
2014,Spring,ME,370,Mechanical Design I,LCD,"Hsiao-Wecksler, Elizabeth",3.4515686274509805
2020,Fall,MCB,101,Intro Microbiology Laboratory,OLB,"Alt, Renee L",3.0909090909090904
2011,Spring,CLCV,116,The Roman Achievement,LEC,"Shanzer, Danuta R",3.103928571428571
2020,Spring,SOC,396,Topics in Sociology,LEC,"Redstone, Ilana",3.8853846153846154
2019,Fall,MCB,150,Molec & Cellular Basis of Life,DIS,"Reedy, Melissa M",2.7577272727272724
2019,Fall,ADV,320,Sales Management,ONL,"Clifton, Dionne J",3.5972727272727267
2018,Fall,HORT,301,Woody Landscape Plants,LEC,"Kling, Gary J",2.7108695652173913
2017,Fall,NPRE,501,Fundamentals of Nuclear Engrg,,"Uddin, Rizwan",3.5068
2016,Fall,MATH,231,Calculus II,,"DeVille, Robert E",3.0457608695652176
2018,Spring,MBA,505,Negotiations,,"Park, Hun Joon",3.8530232558139534
2016,Fall,LAW,627,Legal Research,,"Simmons, Heather J",2.9427586206896548
2013,Fall,MATH,484,Nonlinear Programming,LCD,"Lidicky, Bernard",3.5491176470588237
2014,Fall,LAW,682,Evidence,LCD,"Johnson, Eric A",3.3270476190476193
2020,Spring,HIST,172,US History Since 1877,DIS,"Vaughn, Taryn K",3.7252173913043483
2013,Spring,GLBL,100,Intro to Global Studies,LCD,"Wedig, Timothy E",3.46962962962963
2017,Fall,HIST,100,Global History,,"Williams, Beth A",3.9332
2017,Fall,KIN,262,"Motor Develop, Growth & Form",,"Carlson, Kristin N",3.3060416666666668
2015,Spring,FIN,221,Corporate Finance,DIS,"Amiri Moghadam, Sadra",3.4386842105263162
2010,Fall,IS,506,Youth Services Librarianship,ONL,"McDowell, Kathleen",3.9445833333333336
2013,Fall,ECON,303,Inter Macroeconomic Theory,LCD,"Feng, Zhigang",3.1298305084745763
2015,Fall,THEA,101,Introduction to Theatre Arts,LEC,"Morrissette, Jason W",3.4710859728506787
2018,Fall,ACES,101,Contemporary Issues in ACES,DIS,"Suski, Cory D",3.8470833333333334
2015,Spring,CHLH,494,Special Topics: Health Issues,LEC,"Farner, Susan M",3.8336666666666663
2021,Fall,MATH,441,Differential Equations,LCD,"Rapti, Zoi",3.283703703703704
2020,Spring,NRES,488,Soil Fertility and Fertilizers,LEC,"Mulvaney, Richard L",3.1201999999999996
2012,Fall,MATH,444,Elementary Real Analysis,LCD,"Ruan, Zhong-Jin",3.0603030303030305
2010,Spring,FIN,513,Financial Engineering I,LCD,"Johnson, Timothy C",2.924545454545455
2021,Fall,THEA,101,Introduction to Theatre Arts,ONL,"Miller, Thomas J",3.3754166666666667
2018,Fall,ECON,402,American Economic History,LCD,"DiIanni, Isaac",3.05547619047619
2021,Spring,CPSC,212,Intro to Plant Protection,OLC,"Schroeder, Nathan E",2.5982758620689657
2016,Fall,LAS,101,Freshman Seminar,,"Soranso, Murillo S",3.6529166666666666
2010,Fall,CHLH,101,Introduction to Public Health,DIS,"Holmes, Charles P",2.893617021276596
2012,Fall,SOCW,451,HBSE I: Human Development,LCD,"Havlicek, Judith R",3.919310344827586
2011,Summer,BTW,250,Principles Bus Comm,LCD,"Gilmore, Shawn P",3.508260869565218
2013,Fall,ANTH,143,Biology of Human Behavior,DIS,"Clancy, Kathryn B",3.531481481481481
2021,Spring,THEA,122,Foundations: Theory + Practice,ONL,"Jenkins, Jeffrey E",3.666470588235294
2010,Fall,RHET,105,Principles of Composition,LCD,"Williams, Kyle J",3.380454545454546
2018,Fall,IB,100,Biology in Today's World,ONL,"Chen, Liqing",2.5902255639097747
2011,Summer,LER,320,"Gender, Race, Class and Work",ONL,"Bielski Boris, Monica L",3.2268
2013,Fall,CS,450,Numerical Analysis,LCD,"Olson, Luke",2.907846153846154
2018,Fall,IE,430,Economic Found of Quality Syst,LCD,"Feng, Liming",3.5415625
2011,Fall,CHLH,243,Drug Use and Abuse,LCD,"Ritter, Ellen S",3.508095238095238
2011,Fall,RST,110,Leisure Service Delivery,LCD,"Gower, Ryan K",3.6370129870129873
2019,Fall,CHEM,101,Introductory Chemistry,LEC,"Leveritt, John M",2.633097643097643
2019,Fall,IE,411,Optimization of Large Systems,LCD,"Chen, Xin",3.6792592592592595
2019,Fall,BUS,101,Prof Responsibility & Business,LCD,"DeBrock, Lawrence M",3.8518518518518516
2019,Fall,HDFS,405,Adolescent Development,LCD,"Frantz, Kelly M",3.178222222222222
2011,Spring,SOCW,541,Research Seminar,LCD,"Li, Hong",3.3336
2018,Fall,MSE,456,Mechanics of Composites,LCD,"Sottos, Nancy R",3.0316279069767447
2014,Spring,IB,364,Bioinformatics & Human Genome,DIS,"Hansen, Allison K",3.1017391304347828
2020,Spring,HIST,281,Constructing Race in America,DIS,"Kelley, Kurtis J",3.6352380952380954
2021,Fall,PHIL,203,Ancient Philosophy,LCD,"Shatalov, Keren W",3.0694339622641507
2013,Fall,ECE,350,Fields and Waves II,DIS,"Kudeki, Erhan",3.0644776119402986
2017,Spring,ACCY,301,Atg Measurement & Disclosure,,"Davis, Gregory L",3.460882352941176
2020,Spring,ECON,102,Microeconomic Principles,DIS,"Constantinou, Evangelos",3.8080769230769227
2012,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.753913043478261
2015,Spring,CMN,396,Rhetoric of Theatre,LCD,"Bishop, Mardia J",3.010625
2016,Fall,CMN,429,Race and the Mass Media,,"Dixon, Travis L",3.2087499999999998
2018,Spring,HDFS,105,Intro to Human Development,,"Anderson, Brianna L",3.7014655172413793
2013,Fall,CLCV,115,Mythology of Greece and Rome,DIS,"Abosso, Daniel H",2.84
2016,Spring,ANSC,298,Undergraduate Seminar,LEC,"Hurley, Walter L",3.9038461538461537
2013,Fall,FR,101,Elementary French I,LCD,"Pruneddu, Paola",2.6968181818181822
2016,Spring,ASTR,100,Introduction to Astronomy,LEC,"Hardegree-Ullma, Emily E",2.943846153846154
2010,Fall,RLST,104,Asian Mythology,DIS,"Zusman, Steven A",3.5357142857142856
2019,Fall,ANSC,103,Working With Farm Animals,LEC,"Hurley, Walter L",3.956184210526316
2016,Fall,ME,470,Senior Design Project,,"Johnson, Blake E",3.8059292035398222
2010,Spring,RHET,105,Principles of Composition,LCD,"Owens, Anne C",3.2122727272727274
2010,Fall,ACE,444,Finan Serv Individ Small Bus,LCD,"Schnitkey, Gary D",3.181363636363636
2011,Fall,ECON,102,Microeconomic Principles,Q,"Bailey Athias, Diloa J",3.41051282051282
2011,Spring,PSYC,238,Abnormal Psych,LEC,"Manjrekar, Eishita",3.389375
2011,Summer,ACCY,302,Decision Making for Atg,LCD,"Turner, Cynthia W",3.342
2016,Spring,BADM,310,Mgmt and Organizational Beh,LEC,"Loyd, Denise L",3.1694080996884737
2013,Spring,ACCY,312,Principles of Taxation,LCD,"Lisowsky, Petro",3.390857142857143
2018,Fall,LAS,101,Freshman Seminar,DIS,"Soranso, Murillo S",3.3191666666666664
2015,Summer,PS,385,Politics of the European Union,ONL,"Kourtikakis, Konstantinos",3.0003333333333333
2021,Fall,KIN,104,Ice Skating,LAB,"Clarke, Caitlin L",3.7735849056603774
2017,Fall,KIN,247,Intro to Sport Psychology,,"Phansikar, Madhura Abhay",3.818342465753425
2021,Fall,HDFS,120,Intro to Family Studies,ONL,"Hughes, Robert",3.3508771929824563
2019,Fall,SPAN,307,Bilingualism,LCD,"Bowles, Melissa A",3.698095238095238
2016,Fall,ARTD,328,Human-Centered Product Design,,"McDonagh, Deana C",3.7475757575757576
2020,Spring,ADV,498,The Sandage Project,LCD,"Meron, Shachar",3.834230769230769
2017,Spring,BADM,320,Principles of Marketing,,"Shabbir, Muhammad S",3.866521739130435
2019,Spring,FSHN,426,Biochemical Nutrition I,LEC,"Pan, Yuan-Xiang",3.7886666666666664
2014,Spring,CHEM,420,Instrumental Characterization,LEC,"Tucker, Kevin R",2.822666666666666
2018,Spring,MCB,100,Introductory Microbiology,,"Chapman, Kenneth",2.9440823970037453
2013,Spring,FIN,221,Corporate Finance,DIS,"Liu, Ping",2.838484848484848
2012,Fall,AE,442,Aerospace Systems Design I,LCD,"Carroll, David L",3.4729032258064514
2011,Fall,CHEM,105,General Chemistry Lab II,LAB,"Desai, Shalin C",2.9768852459016393
2018,Fall,TAM,212,Introductory Dynamics,LCD,"Lee, Chia-Fon",2.636965174129353
2011,Fall,GEOL,100,Planet Earth,DIS,"Bryk, Alexander",3.1212
2014,Summer,PHYS,211,University Physics: Mechanics,LEC,"Rosenblatt, Rebecca J",2.6673076923076926
2013,Fall,GE,450,Decision Analysis I,LCD,"Abbas, Ali E",3.776
2014,Spring,PSYC,201,Intro to Social Psych,LEC,"Hepler, Justin J",3.5902083333333334
2018,Spring,FSHN,232,Science of Food Preparation,,"Craft, Jill N",3.5616666666666665
2011,Summer,CWL,189,Lit of Asia & Africa I,DIS,"Nelson, Matthew E",3.424545454545455
2019,Fall,CMN,111,Oral & Written Comm I,LCD,"Golding, Wallace S",3.5763636363636366
2011,Fall,MUS,421,The Music of America,CNF,"Magee, Jeffrey S",3.151212121212121
2014,Fall,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.4065217391304343
2016,Spring,CHLH,101,Introduction to Public Health,DIS,"Kaplan, Justine",3.320816326530613
2011,Summer,ANSC,350,Cellular Metabolism in Animals,LEC,"White, Bryan A",3.769038461538462
2018,Spring,GER,261,The Holocaust in Context,,"Wade, Mara R",3.47
2014,Spring,ACE,456,Agr and Food Policies,LCD,"Kirwan, Barrett E",3.228048780487805
2021,Spring,PS,320,Public Opinion,ONL,"Rudolph, Thomas J",3.248987341772152
2011,Spring,ECON,103,Macroeconomic Principles,Q,"Sogo, Takeharu",2.8011904761904765
2011,Summer,LAW,602,Property,LCD,"Hamilton, Daniel W",3.3624444444444443
2013,Fall,MBA,501,Foundations of Bus I-DA,LCD,"Kwon, Hyok-Jon D",3.5167500000000005
2019,Fall,CHEM,232,Elementary Organic Chemistry I,LEC,"Zavala, Jose",3.0474025974025976
2016,Spring,CPSC,453,Principles of Plant Breeding,LEC,"Kolb, Frederic L",3.4053571428571425
2011,Fall,ABE,224,ABE Principles: Soil & Water,LEC,"Kalita, Prasanta K",3.5844927536231888
2018,Fall,CHEM,102,General Chemistry I,LEC,"Huang, Tina H",2.404131274131274
2014,Spring,MATH,213,Basic Discrete Mathematics,LCD,"Zhang, Yi",3.037428571428572
2011,Spring,KIN,247,Intro to Sport Psychology,LCD,"Olson, Erin A",3.5053763440860215
2020,Fall,AFRO,243,Pan Africanism,ONL,"Bowen, Merle L",3.0141666666666667
2019,Spring,GWS,202,Sexualities,DIS,"Grogan, Erin E",3.2747058823529414
2017,Fall,BADM,590,Economics of Organizations,,"Kim, June-Young",3.8268
2021,Fall,CHP,199,Honors Uncommon Reads,OD,"Jackson, Lisa",3.750714285714286
2020,Spring,KIN,140,Social Sci of Human Movement,LEC,"Aguinaga, Susan",3.455357142857143
2018,Fall,LAW,647,Income Taxation,LCD,"Kaplan, Richard L",3.402307692307692
2015,Spring,ECE,564,Modern Light Microscopy,LEC,"Popescu, Gabriel",3.652608695652174
2012,Fall,FIN,300,Financial Markets,LCD,,2.4068750000000003
2014,Spring,PHYS,214,Univ Physics: Quantum Physics,LEC,"Hughes, Taylor L",2.5703007518796994
2015,Fall,KIN,352,Bioenergetics of Movement,LEC,"De Lisio, Michael",3.4155844155844157
2019,Fall,ACCY,304,Accounting Control Systems,LCD,"Hayne, Christie",3.3850000000000002
2015,Fall,ENGL,121,Comics and Graphic Narratives,LCD,"Barrett, Robert W",3.402068965517241
2020,Spring,CHLH,125,Orientation KIN & Comm Health,LCD,"Cosat, Christopher A",3.741573033707865
2010,Spring,ENGL,104,Intro to Film,LCD,"Korman, Adam S",3.0425
2017,Spring,CEE,420,Construction Productivity,,"Liu, Liang Y",3.597252747252747
2021,Fall,CLCV,115,Mythology of Greece and Rome,DIS,"Reymann, Emma F",3.5593548387096776
2021,Spring,FIN,221,Corporate Finance,OD,"Zheng, Yongjian",3.625208333333333
2013,Fall,SOCW,427,Social Work Research Methods,LCD,"Larrison, Christopher R",3.4710344827586206
2014,Fall,BADM,509,Managing Organizations,LCD,"Bednar, Michael K",3.6460416666666666
2018,Fall,FIN,580,Quantitative Methods II,LCD,"Yang, Xi",3.6233333333333335
2016,Fall,ME,300,Thermodynamics,,"Lee, Tonghun",3.2004705882352935
2015,Fall,ECE,316,Ethics and Engineering,LCD,"Hillmer, Philip M",3.861666666666667
2014,Spring,RLST,110,World Religions,DIS,"Jelesijevic, Dunja",2.9099999999999997
2012,Fall,STAT,212,Biostatistics,LCD,"Zhong, Wenxuan",3.598529411764706
2011,Fall,GS,101,Exploring General Studies,LCD,"Armstrong, Christopher M",3.7539130434782613
2020,Fall,CEE,460,Steel Structures I,ONL,"Elbanna, Ahmed",3.5823529411764707
2015,Fall,BADM,449,Business Policy and Strategy,LCD,"Schijven, Mario P",3.5987179487179484
2010,Spring,CS,101,Intro Computing: Engrg & Sci,LBD,"Shifteh Far, Saeidreza",2.8525
2010,Fall,ECON,103,Macroeconomic Principles,Q,"Jachetta, Christine B",2.8337499999999998
2014,Fall,BTW,250,Principles Bus Comm,LCD,"Grieve, Nolan R",3.9395454545454545
2021,Spring,EPSY,401,Child Language and Education,ONL,"Christianson, Kiel",3.4783333333333335
2019,Spring,HDFS,408,Hospitalized Children,LCD,"Hurth, Emily S",3.696764705882353
2014,Fall,MATH,461,Probability Theory,LCD,"Di Francesco, Philippe",2.375625
2021,Spring,CHLH,404,Gerontology,OLC,"Hernandez, Manuel E",3.7142857142857144
2020,Fall,IB,411,Bioinspiration,OLC,"Alleyne, Marianne",3.6799999999999997
2016,Fall,ACCY,201,Accounting and Accountancy I,,"Pietura, Magdalena",2.628846153846154
2019,Spring,ASRM,472,Life Contingencies II,LCD,"Buysse, Klara T",2.941884057971015
2012,Fall,SHS,121,American Sign Language I,LCD,"Carrington, Edwin H",3.536086956521739
2014,Fall,CS,498,Algorithms and Models of Comp,LEC,"Erickson, Jeff G",2.526891891891892
2016,Spring,ARTD,326,Sustainability & Manufacturing,LEC,"Bullock, William C",3.0687179487179486
2010,Fall,MATH,231,Calculus II,LEC,"Ahlgren, Scott D",2.9378008298755187
2016,Fall,ANTH,182,Latin American Cultures,,"Maldonado, Korinta",3.4646428571428567
2019,Spring,CHEM,442,Physical Chemistry I,LEC,"Hirata, So",3.458375
2018,Spring,MATH,347,Fundamental Mathematics,,"Baluyot, Siegfred Alan C",3.11125
2010,Spring,BIOE,302,Modeling Human Physiology,LEC,"Sutton, Brad",3.6395999999999997
2016,Fall,FIN,221,Corporate Finance,,"Xu, Hao",3.080909090909091
2019,Fall,RST,316,Leisure and Human Development,LCD,"Wachter, Cynthia J",3.227021276595745
2018,Spring,BADM,584,Global Marketing,,"Torelli, Carlos J",3.648333333333333
2015,Fall,ME,471,Finite Element Analysis,LEC,"Chew, Huck Beng",3.4566666666666666
2018,Spring,ABE,226,ABE Principles: Bioprocessing,,"Singh, Vijay",3.1832258064516132
2016,Fall,ECE,329,Fields and Waves I,,"Dragic, Peter D",3.1524242424242424
2019,Fall,ME,340,Dynamics of Mechanical Systems,LEC,"LaViers Minnick, Amy E",3.831639344262295
2016,Fall,FIN,221,Corporate Finance,,"Han, Xue",2.866285714285714
2013,Spring,IB,485,Environ Toxicology & Health,LCD,"Francis, Bettina M",3.4806
2021,Fall,ARTH,260,Graffiti and Murals,OLC,"Vazquez, Oscar",2.830833333333333
2010,Fall,BADM,322,Marketing Research,LCD,"Yuan, Hong",3.361914893617022
2012,Fall,CS,431,Embedded Systems,LCD,"Caccamo, Marco",2.697674418604651
2019,Spring,PS,241,Comp Politics in Dev Nations,ONL,"Waeiss, Charla S",2.9378125
2019,Fall,SOC,100,Introduction to Sociology,DIS,"Hernandez, Jessennya",3.218965517241379
2016,Fall,ECE,453,Wireless Communication Systems,,"Franke, Steven J",3.197777777777778
2021,Fall,SOC,163,Social Problems,LEC,"Redstone, Ilana",3.7180769230769233
2011,Spring,MCB,246,Human Anatomy & Physiology II,LEC,"Brown, Chester M",2.6990243902439026
2020,Fall,SHS,120,"Child, Comm, & Lang Ability",ONL,"Wachtel, Jayne M",3.8275862068965516
2011,Fall,MATH,292,Vector Calculus Supplement,LBD,"Vlasic, Andrew Y",2.5078260869565216
2012,Fall,MCB,245,Human Anat & Physiol Lab I,LAB,"Swigart, James P",3.2503571428571427
2018,Fall,CEE,498,Construction Safety,LCD,"Ignacio, Ernest-John D",3.7132758620689654
2011,Summer,MCB,245,Human Anat & Physiol Lab I,LAB,"Muhamed, Ismaeel",3.4671999999999996
2020,Fall,ACCY,451,Advanced Income Tax Problems,OLC,"Holder, Daniel E",3.375
2015,Spring,ESE,445,Earth Resources Sustainability,ONL,"Cole, Todd M",3.478974358974359
2015,Spring,ECE,313,Probability with Engrg Applic,DIS,"Lu, Yi",2.8477192982456145
2011,Summer,ME,471,Finite Element Analysis,LEC,"Tortorelli, Daniel A",3.294651162790697
2014,Fall,LER,100,Introduction to Labor Studies,ONL,"Hawking, Carol J",2.6046875000000003
2016,Fall,ECON,452,The Latin American Economies,,"D'Almeida, Fabricio R",3.2390625
2013,Fall,BADM,590,Team Projects,LCD,"Grahovac, Jovan",3.884285714285714
2017,Spring,ENGL,200,Intro to the Study of Lit,,"Pollock, Anthony",3.634
2014,Fall,CHBE,424,Chemical Reaction Engineering,LEC,"Kraft, Mary L",2.9393939393939394
2010,Fall,PS,100,Intro to Political Science,LEC,"Bernhard, William T",3.0833749999999998
2013,Spring,ECON,103,Macroeconomic Principles,Q,"Sogo, Takeharu",2.5291176470588232
2011,Summer,PSYC,100,Intro Psych,LCD,"Morrison, Michael R",3.0656521739130436
2011,Spring,EPSY,420,Theories of Psychotherapy,LCD,"Chen, Eva C",2.8813461538461542
2013,Spring,CEE,498,Special Topics,LCD,"Ouyang, Yanfeng",3.524285714285714
2014,Fall,ASTR,100,Introduction to Astronomy,LEC,"Liu, Yuk Tung",3.305487804878049
2020,Fall,AAS,100,Intro Asian American Studies,OD,"Kang, Yoonjung",3.284074074074074
2021,Fall,EPSY,485,Assessing Student Performance,LCD,"Moermond, Veronica A",3.714642857142857
2011,Summer,LAS,101,Freshman Seminar,DIS,"Hoffman, Ruth A",3.5736000000000003
2020,Spring,LAW,303,Living the Law,LEC,"Pahre, Jennifer N",3.8666666666666667
2011,Spring,MS,410,Media Ethics,LCD,"Christians, Clifford",3.45
2018,Fall,ECE,206,Electrical & Electronics Lab,LAB,"Radhakrishnan, Chandrasek",3.8935714285714282
2016,Spring,CS,440,Artificial Intelligence,LCD,"DeJong, Gerald F",3.055214285714286
2011,Fall,ECE,313,Probability with Engrg Applic,DIS,"Viswanath, Pramod",3.263333333333333
2018,Fall,SOC,100,Introduction to Sociology,DIS,"Avalos, Miguel A",3.0117241379310347
2016,Fall,LAW,301,Introduction to Law,,"Pahre, Jennifer N",3.660165289256198
2014,Fall,MATH,540,Real Analysis,LCD,"Li, Xiaochun",3.504814814814815
2014,Fall,ECON,302,Inter Microeconomic Theory,DIS,"DiIanni, Isaac",3.046944444444444
2020,Spring,ACCY,304,Accounting Control Systems,LCD,"Kink, Dawn M",3.520294117647059
2013,Spring,CS,438,Communication Networks,LCD,"Kravets, Robin H",2.681594202898551
2016,Fall,MCB,245,Human Anat & Physiol Lab I,,"Swigart, James P",1.8392592592592591
2013,Fall,LAW,676,Insurance Law,LCD,"Molk, Peter",3.347272727272727
2012,Fall,ACCY,304,Accounting Control Systems,LCD,"Wu, Martin G",3.2018421052631574
2013,Spring,ATMS,140,Climate and Global Change,LCD,"Schlesinger, Michael E",3.526315789473684
2010,Fall,IS,409,Storytelling,LCD,"Keding, Daniel T",3.9565217391304346
2020,Spring,PSYC,250,Psych of Personality,LEC,"Briskin, Julia L",3.261726618705035
2014,Fall,GS,101,Exploring General Studies,LCD,"McMillion, Desiree Y",3.953793103448276
2010,Fall,ECON,302,Inter Microeconomic Theory,LCD,"Sahakyan, Zaruhi M",2.8443548387096773
2016,Fall,CS,412,Introduction to Data Mining,,"Han, Jiawei",3.2196875
2020,Spring,FIN,490,Entrepreneurship Thru Acquistn,LCD,"Smith, Mark K",3.967741935483871
2014,Fall,MATH,231,Calculus II,LEC,"Whittlesey, Kim",2.5064215686274514
2015,Fall,KIN,340,Soc & Psych of Phys Activity,LEC,"Petruzzello, Steven J",3.1492222222222215
2017,Fall,GER,250,Grimms' Fairy Tales - ACP,,"Malekin, Bjorn",3.7783333333333338
2020,Spring,MSE,481,Electron Microscopy,LCD,"Huang, Pinshane",3.685135135135136
2011,Summer,BADM,382,International Marketing,LCD,"Crosby, Elizabeth M",3.5914285714285716
2012,Fall,MATH,290,Symbolic Computation Lab,LCD,"Gilbert, Rebekah A",3.5974418604651155
2010,Spring,MCB,150,Molec & Cellular Basis of Life,DIS,"Speichinger, Katherine R",3.20875
2018,Fall,MATH,444,Elementary Real Analysis,LCD,"Mortensen, Karen P",3.0
2010,Spring,LAW,796,Int'l Commercial Arbitration,LEC,"Maggs, Peter B",3.564347826086956
2020,Spring,CS,423,Operating Systems Design,LCD,"Xu, Tianyin",3.6132786885245904
2013,Spring,PHIL,105,Introduction to Ethics,DIS,"Polk, Amber R",3.3129411764705883
2010,Spring,SHS,301,General Speech Science,LCD,"Husain, Fatima T",3.043118279569893
2019,Fall,PHIL,203,Ancient Philosophy,LCD,"Sanders, Kirk",2.6719354838709677
2021,Spring,CI,401,Intro Tchg in a Diverse Societ,ONL,"Hale, Jon N",3.8016216216216216
2017,Spring,CHEM,105,General Chemistry Lab II,,"Muhammad, Safiyah R",3.9336
2013,Spring,IS,516,School Library Media Center,ONL,"Burton, Margaret A",3.9523809523809526
